iata,airport_name,lat,long,currency_code,to_euro
LWN,Gyumri,40.750369,43.859342,AMD,0.0019809999999999997
AUA,Reina Beatrix Intl,12.501389,-70.015221,AWG,0.5331
MTL,Maitland Airport,-32.7033,151.488,AUD,0.7253
DGE,Mudgee Airport,-32.5625,149.611,AUD,0.7253
WSY,Whitsunday Airstrip,-20.276,148.755,AUD,0.7253
NSO,Scone Airport,-32.0372,150.832,AUD,0.7253
CES,Cessnock Airport,-32.7875,151.342,AUD,0.7253
OKB,Orchid Beach,-24.95841,153.3145,AUD,0.7253
ABM,Bamaga Injinoo,-10.950833,142.459444,AUD,0.7253
ASP,Alice Springs,-23.806667,133.902222,AUD,0.7253
BNE,Brisbane Intl,-27.384166999999998,153.1175,AUD,0.7253
OOL,Gold Coast,-28.164444,153.504722,AUD,0.7253
CNS,Cairns Intl,-16.885832999999998,145.755278,AUD,0.7253
CTL,Charleville,-26.413334000000003,146.2625,AUD,0.7253
ISA,Mount Isa,-20.663889,139.48861100000002,AUD,0.7253
MCY,Sunshine Coast,-26.603333000000003,153.091111,AUD,0.7253
MKY,Mackay,-21.171667000000003,149.179722,AUD,0.7253
PPP,Proserpine Whitsunday Coast,-20.495,148.552222,AUD,0.7253
ROK,Rockhampton,-23.381944,150.475278,AUD,0.7253
TSV,Townsville,-19.2525,146.765278,AUD,0.7253
WEI,Weipa,-12.678611,141.925278,AUD,0.7253
AVV,Avalon,-38.039444,144.46944399999998,AUD,0.7253
ABX,Albury,-36.067778000000004,146.958056,AUD,0.7253
MEB,Melbourne Essendon,-37.728056,144.901944,AUD,0.7253
HBA,Hobart,-42.836110999999995,147.510278,AUD,0.7253
LST,Launceston,-41.545278,147.214167,AUD,0.7253
MBW,Melbourne Moorabbin,-37.975833,145.10222199999998,AUD,0.7253
MEL,Melbourne Intl,-37.673333,144.843333,AUD,0.7253
ADL,Adelaide Intl,-34.945,138.53055600000002,AUD,0.7253
JAD,Perth Jandakot,-32.0975,115.881111,AUD,0.7253
KTA,Karratha,-20.712222,116.77333300000001,AUD,0.7253
KGI,Kalgoorlie Boulder,-30.789444,121.46166699999999,AUD,0.7253
KNX,Kununurra,-15.778056,128.7075,AUD,0.7253
LEA,Learmonth,-22.235556,114.08861100000001,AUD,0.7253
PHE,Port Hedland Intl,-20.377778,118.62638899999999,AUD,0.7253
PER,Perth Intl,-31.940278000000003,115.966944,AUD,0.7253
UMR,Woomera,-31.144167,136.816944,AUD,0.7253
BWU,Sydney Bankstown,-33.924444,150.988333,AUD,0.7253
CBR,Canberra,-35.306944,149.195,AUD,0.7253
CFS,Coffs Harbour,-30.320556,153.116389,AUD,0.7253
CDU,Camden,-34.040278,150.687222,AUD,0.7253
DBO,Dubbo,-32.216667,148.574722,AUD,0.7253
RCM,Richmond,-33.600556,150.780833,AUD,0.7253
